Ventas;;;2020;2021;2022;2023;2024;2025;;;;;;;;;
;Part number;Catalog Type;;;;;;January;February;March;April;May;June;July;August;September;October
;AB3329-4301;INV;;;1;7;1;;;;;;;;;4;
;AB3329-4401;INV;10;16;9;12;6;4;;;;;;1;12;;
;AB3330-1601;INV;80;102;82;53;55;5;;7;8;3;7;3;4;4;
;AB3330-1601;PKG;;18;26;38;9;2;;;;;;;;;
;AB3330-1701;INV;27;69;73;76;38;4;1;3;3;4;;6;4;2;3
;AB3330-3301;INV;17;6;10;8;19;;;;4;;1;4;;;
;AB3330-3501;INV;1;;;;;;;;;;;;;;
;AB3334-301;INV;21;3;9;10;5;1;6;;;;;;;;
;AB3340-301;INV;20;24;18;26;63;;;;1;;3;;1;3;
;AB3340-301;PKG;225;203;405;178;165;9;4;43;47;9;14;14;8;7;
;AB3341-301;INV;30;70;130;51;24;9;;;9;;;;;;
;AB3341-301;PKG;113;96;144;92;79;3;13;16;38;;;;;;
;AB3343-301;INV;27;27;8;3;1;;;;;;;;;;
;AB3355-3-75001;INV;5;11;4;;7;;;1;;1;1;1;;5;
;AB3355-3-750SP01;INV;7;27;;2;;;;;;;1;;;;
;AB3355-3-950SP01;INV;5;;;;;;;;;;;;;;
;AB3358-301;INV;31;31;4;21;;;;;;;;;;;
;AB3358-301;PKG;229;199;153;31;;;;;;;;;;;
;AB3363-301;INV;103;157;209;74;49;0;;2;8;2;1;2;19;1;
;AB3363-301;PKG;331;250;382;293;243;3;35;71;79;17;20;14;20;11;1
;AB3364-900SP01;INV;152;200;228;231;191;14;7;12;28;14;6;6;47;7;2
;AB3367-301;INV;17;32;26;5;53;;3;;12;5;1;;;;
;AB3369-5701;INV;;8;7;9;6;;1;-1;1;;2;;;;
;AB337001;INV;5;8;12;8;10;1;3;1;;;2;;;;
;AB3370-301;INV;1;1;4;0;1;;;;;5;;;;;
;AB337101;INV;5;25;47;46;35;11;6;25;12;11;1;2;3;;
;AB337201;INV;4;3;2;2;6;;;;;1;;;;;
;AB337201;PKG;19;37;47;41;60;3;3;1;5;12;;;3;4;
;AB337301;INV;3;2;3;7;4;1;;;;1;;;;;
;AB337301;PKG;;;;;49;;3;1;6;6;7;8;3;14;
;AB3379-301;INV;1;6;7;5;4;;;;;;2;;;;
;AB3391-301;INV;52;59;50;42;30;3;3;11;;8;3;1;;5;
;AB3395047101;INV;;;;;19;;;;;;;;;;
;AB3395047201;INV;;;;;2;;;;;;;;;;
;AB3407-1A01;INV;2;6;9;16;11;;;;;;;2;;8;
;AB3425-3P01;INV;22;4;5;;14;;;;2;1;;;2;;
;AB3425-3P01;PKG;3;5;;14;1;;;;;;;;1;;
